S,Dividend,C_BS,D_BS,C_mkt,D_Blm,R,TTM,Moneyness,D_Optimal,K,TTM_years,R_decimal,Implied_Volatility
5699.94,1.3476,292.1654071,0.572594936,300.2,0.589,4.61384,169,0,0.580348615,5700,0.6706349206349206,0.046138399999999996,0.10998802719447655
5751.07,1.3361,321.1143911,0.606788872,329.75,0.62,4.75321,168,51,0.412009731,5700,0.6666666666666666,0.0475321,0.10584478601010999
5695.94,1.3483,291.2077462,0.57207438,306.95,0.59,4.80911,165,-4,0.494017713,5700,0.6547619047619048,0.048091100000000005,0.11569437513492671
5751.13,1.3351,321.9039217,0.605567988,333.9,0.619,4.77619,164,51,0.587250394,5700,0.6507936507936508,0.047761899999999996,0.1109989358034624
5792.04,1.3255,347.319191,0.630024302,357.8,0.642,4.78852,163,92,0.385249088,5700,0.6468253968253969,0.0478852,0.10853367625603376
5780.05,1.3278,338.7808322,0.622759244,353.1,0.639,4.7853,162,80,0.451558628,5700,0.6428571428571429,0.047853,0.1118084534652133
5815.03,1.3204,361.9384387,0.642579356,368.8,0.656,4.78128,161,115,0.873617665,5700,0.6388888888888888,0.047812799999999996,0.10653680535179022
5859.85,1.3103,386.9455894,0.669327943,407.4,0.686,4.78585,158,160,0.804709843,5700,0.626984127,0.0478585,0.11246458663378563
5815.26,1.3209,356.9353354,0.642917116,371.35,0.66,4.76965,157,115,0.514842074,5700,0.623015873,0.0476965,0.11160844308063733
5842.47,1.3144,373.877289,0.658805489,385.25,0.675,4.76916,156,142,1.239307719,5700,0.6190476190476191,0.0476916,0.10828263451593537
5841.47,1.3139,368.6010903,0.660668332,383.75,0.679,4.79474,155,141,0.467617148,5700,0.6150793650793651,0.0479474,0.10820372665543054
5864.67,1.3086,380.614721,0.675515543,394.5,0.692,4.78168,154,165,0.684653302,5700,0.6111111111111112,0.0478168,0.10443777003455088
5853.98,1.311,370.0541775,0.670047298,386.75,0.687,4.79913,151,154,3.444633447,5700,0.5992063492063492,0.0479913,0.10716600786239595
5851.2,1.3109,365.9757773,0.669079507,376.45,0.685,4.7952,150,151,0.527893025,5700,0.5952380952380952,0.047952,0.10226762216844255
5797.42,1.3226,331.4281428,0.63508777,347.95,0.654,4.79683,149,97,0.588741306,5700,0.5912698412698413,0.0479683,0.11101374701721549
5809.86,1.3193,339.7951062,0.641910822,355.15,0.662,4.77971,148,110,1.589799113,5700,0.5873015873015873,0.047797099999999995,0.1109517924778953
5808.12,1.3187,343.2564572,0.638347052,352.05,0.653,4.77618,147,108,0.792208224,5700,0.5833333333333334,0.0477618,0.11063408350937659
5823.52,1.3151,346.8774077,0.649266379,363.75,0.668,4.77389,144,124,0.979342097,5700,0.5714285714285714,0.0477389,0.11366825122393484
5832.92,1.3131,352.3789896,0.654729087,372.75,0.676,4.76552,143,133,1.092031535,5700,0.5674603174603174,0.0476552,0.11617197295809598
5813.67,1.3177,339.9364949,0.642709372,351.5,0.666,4.78509,142,114,0.603176522,5700,0.5634920634920635,0.0478509,0.1118040551383465
5705.45,1.3411,275.5699997,0.571846084,286.1,0.596,4.7692,141,5,0.408392335,5700,0.5595238095238095,0.047692,0.11837490401574159
5728.8,1.3364,286.232224,0.587217271,295.55,0.602,4.75678,140,29,0.752802681,5700,0.5555555555555556,0.0475678,0.11574991430226624
5712.69,1.3391,267.0048723,0.576838124,282.95,0.594,4.74185,137,13,0.586906142,5700,0.5436507936507936,0.0474185,0.11708029024872708
5782.76,1.3243,305.990516,0.625459889,323.95,0.644,4.75145,136,83,0.677438659,5700,0.5396825396825397,0.0475145,0.11387788912186808
